Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,0,0,7,0,0.16,0.00,0.16,0.16,0.16,1.3,1.3,1.1,2.4,0.10,0.09,0.19,0.10,0.19,Matches,036bba5f
17,Omar Alderete,py PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,2,0,0,15,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.3,1.2,0.04,0.01,0.05,0.04,0.05,Matches,bb08bce9
18,Iván Alejo,es ESP,MFFW,Cádiz,26,1995,20,11,1065,11.8,2,2,2,0,0,7,0,0.17,0.17,0.34,0.17,0.34,1.0,1.0,2.3,3.3,0.08,0.20,0.28,0.08,0.28,Matches,3d7e48ce
19,Carles Aleñá,es ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,2.0,2.0,1.6,3.6,0.08,0.06,0.14,0.08,0.14,Matches,6c811eb7
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,683a1d81
21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.91,0.00,1.91,1.91,1.91,Matches,6f392eb8
22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.02,0.02,0.02,Matches,3ecc11d8
23,Dani Alves,br BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,1,0,0,2,1,0.08,0.25,0.33,0.08,0.33,0.2,0.2,1.9,2.1,0.01,0.16,0.17,0.01,0.17,Matches,c9e99e49
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.04,0.05,0.08,0.04,0.08,Matches,69c5633e
25,Amath,sn SEN,FWMF,Mallorca,25,1996,19,9,884,9.8,0,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,1.3,1.3,0.4,1.7,0.13,0.04,0.17,0.13,0.17,Matches,f3b1d9a2
26,Florin Andone,ro ROU,FW,Cádiz,28,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15,Matches,dc008610
27,José Ángel,es ESP,DF,Osasuna,31,1989,23,12,1083,12.0,1,1,1,0,0,2,1,0.08,0.08,0.17,0.08,0.17,0.2,0.2,1.3,1.5,0.02,0.11,0.13,0.02,0.13,Matches,3024e383
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4a5f2032
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,31,31,2663,29.6,0,5,0,0,0,13,0,0.00,0.17,0.17,0.00,0.17,1.1,1.1,1.9,3.0,0.04,0.06,0.10,0.04,0.10,Matches,58afe001
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,34,29,2617,29.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.01,0.01,0.01,0.01,0.01,Matches,27a013f7
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,30,25,2272,25.2,4,0,4,0,0,6,0,0.16,0.00,0.16,0.16,0.16,1.4,1.4,0.4,1.9,0.06,0.02,0.07,0.06,0.07,Matches,2bef2bca
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,3,2,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,94e01ec6
33,Matias Arezo,uy URU,FW,Granada,18,2002,8,1,162,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.3,1.3,0.54,0.18,0.72,0.54,0.72,Matches,484ebdb0
34,Santiago Arias,co COL,DF,Granada,29,1992,12,4,440,4.9,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.6,0.6,0.4,1.0,0.13,0.08,0.21,0.13,0.21,Matches,fdd60087
35,Santiago Arzamendia,py PAR,MFDF,Cádiz,23,1998,14,5,469,5.2,1,0,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04,Matches,759d8dd7
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9f0ea33f
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.19,0.15,0.34,0.19,0.34,Matches,b4c23f36
38,Marco Asensio,es ESP,FWMF,Real Madrid,25,1996,31,19,1731,19.2,10,0,10,0,0,2,0,0.52,0.00,0.52,0.52,0.52,7.4,7.4,2.3,9.6,0.38,0.12,0.50,0.38,0.50,Matches,45af8a54
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,37,36,3087,34.3,18,5,15,3,5,9,0,0.52,0.15,0.67,0.44,0.58,14.9,11.0,6.2,17.2,0.43,0.18,0.61,0.32,0.50,Matches,7dcf86f6
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,17,13,1082,12.0,11,1,11,0,0,0,0,0.91,0.08,1.00,0.91,1.00,7.1,7.1,1.0,8.2,0.59,0.09,0.68,0.59,0.68,Matches,d5dd5f1f
41,Ludwig Augustinsson,se SWE,DF,Sevilla,27,1994,19,9,793,8.8,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,0.6,1.0,0.05,0.07,0.12,0.05,0.12,Matches,9fec8860
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,10,1010,11.2,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.8,0.8,1.2,2.0,0.07,0.11,0.18,0.07,0.18,Matches,5c2b4f07
43,Ezequiel Ávila,ar ARG,FWMF,Osasuna,27,1994,36,22,1870,20.8,6,1,5,1,1,9,1,0.29,0.05,0.34,0.24,0.29,4.2,3.4,1.3,4.7,0.20,0.06,0.26,0.16,0.23,Matches,253a06b9
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,26,23,1934,21.5,2,0,2,0,0,9,0,0.09,0.00,0.09,0.09,0.09,1.5,1.5,0.3,1.8,0.07,0.02,0.08,0.07,0.08,Matches,bfd381b3
45,Carlos Bacca,co COL,FW,Granada,34,1986,17,4,513,5.7,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.8,0.8,0.5,1.2,0.13,0.09,0.22,0.13,0.22,Matches,09a9e921
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e4346678
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a98f3cbf
48,Alejandro Balde,es ESP,DFFW,Barcelona,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches,5ccc9672
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,5,4,280,3.1,1,0,1,0,0,2,0,0.32,0.00,0.32,0.32,0.32,1.2,1.2,0.0,1.3,0.39,0.01,0.40,0.39,0.40,Matches,a58bb1e1
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,26,23,2027,22.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.6,0.01,0.02,0.03,0.01,0.03,Matches,1fe67e86
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,35,3147,35.0,1,2,1,0,0,10,1,0.03,0.06,0.09,0.03,0.09,0.6,0.6,4.0,4.7,0.02,0.12,0.13,0.02,0.13,Matches,cee88597
52,Barbero,es ESP,MFFW,Osasuna,22,1998,6,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,Matches,981c1863
53,Barcia,es ESP,DF,Granada,20,2000,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0c717ae6
54,Enis Bardhi,mk MKD,MFFW,Levante,26,1995,30,17,1701,18.9,3,3,1,2,2,3,0,0.16,0.16,0.32,0.05,0.21,3.8,2.3,3.3,5.6,0.20,0.18,0.38,0.12,0.30,Matches,cac2537b
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,25,18,1481,16.5,1,1,1,0,0,9,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,1.0,1.5,0.03,0.06,0.09,0.03,0.09,Matches,03049c8c
56,Kike Barja,es ESP,MFFW,Osasuna,24,1997,21,9,865,9.6,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,1.8,1.8,0.6,2.4,0.19,0.07,0.25,0.19,0.25,Matches,aad53e64
57,Antonio Barragán,es ESP,DF,Elche,34,1987,16,12,1020,11.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,487d9b09
58,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,19,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.4,0.4,1.0,1.4,0.06,0.17,0.23,0.06,0.23,Matches,200e89e1
59,Marc Bartra,es ESP,DF,Betis,30,1991,23,23,1993,22.1,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.1,1.6,0.07,0.01,0.07,0.07,0.07,Matches,b742cc0d
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,6,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,42a028c5
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,26,12,1179,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,d637fc22
62,Jon Bautista,es ESP,FWMF,Real Sociedad,26,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,debc6b55
63,Bebé,cv CPV,FWMF,Rayo Vallecano,31,1990,29,6,867,9.6,1,2,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,2.1,2.1,1.9,4.0,0.22,0.20,0.42,0.22,0.42,Matches,d8712bf9
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,23,22,1979,22.0,0,2,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.4,0.4,2.4,2.8,0.02,0.11,0.13,0.02,0.13,Matches,f874dd44
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,37,31,2597,28.9,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.4,0.4,0.6,1.0,0.01,0.02,0.03,0.01,0.03,Matches,ed5c5fa3
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,14,6,590,6.6,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,2.7,2.7,0.9,3.6,0.41,0.14,0.56,0.41,0.56,Matches,bef0a7ac
67,Iker Benito,es ESP,MFFW,Osasuna,18,2002,4,1,118,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.10,0.17,0.07,0.17,Matches,50cbc806
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a7416105
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,32,31,2593,28.8,27,12,20,7,11,0,0,0.94,0.42,1.35,0.69,1.11,23.5,15.1,9.5,24.6,0.81,0.33,1.14,0.52,0.85,Matches,70d74ece
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,14,11,1015,11.3,1,2,1,0,0,3,0,0.09,0.18,0.27,0.09,0.27,0.4,0.4,0.6,1.0,0.03,0.06,0.09,0.03,0.09,Matches,b6e50615
71,Álex Berenguer,es ESP,MFFW,Athletic Club,26,1995,34,24,2168,24.1,3,6,3,0,1,8,0,0.12,0.25,0.37,0.12,0.37,4.6,3.9,5.6,9.5,0.19,0.23,0.42,0.16,0.39,Matches,dc1c2fce
72,Pedro Bigas,es ESP,DF,Elche,30,1990,19,19,1551,17.2,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.3,0.9,0.03,0.02,0.05,0.03,0.05,Matches,697295b1
73,Blanco,es ESP,MF,Real Madrid,21,2000,1,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,506daeac
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,2790,31.0,0,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,0.6,0.6,0.00,0.02,0.02,0.00,0.02,Matches,f6798fc3
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,24,22,1713,19.0,7,3,7,0,0,3,0,0.37,0.16,0.53,0.37,0.53,4.9,4.9,1.8,6.7,0.26,0.10,0.35,0.26,0.35,Matches,d49f3e6b
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,4,3,235,2.6,2,1,2,0,0,0,0,0.77,0.38,1.15,0.77,1.15,1.0,1.0,1.3,2.3,0.40,0.48,0.88,0.40,0.88,Matches,fd771f95
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,35,27,2405,26.7,1,2,1,0,0,8,0,0.04,0.07,0.11,0.04,0.11,1.6,1.6,1.6,3.2,0.06,0.06,0.12,0.06,0.12,Matches,4accb7e0
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,17,17,1456,16.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,10072610
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,12,2,343,3.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,3d688b46
80,Bryan,es ESP,MFFW,Valencia,20,2001,13,9,753,8.4,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,1.1,1.1,1.0,2.2,0.13,0.12,0.26,0.13,0.26,Matches,7b5ab7f2
81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,28,20,1738,19.3,8,2,6,2,2,3,0,0.41,0.10,0.52,0.31,0.41,8.4,7.1,1.3,8.4,0.44,0.07,0.50,0.37,0.43,Matches,8f3565b3
82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,36,36,3198,35.5,2,0,2,0,0,12,0,0.06,0.00,0.06,0.06,0.06,0.7,0.7,1.9,2.6,0.02,0.05,0.07,0.02,0.07,Matches,5ab0ea87
83,Adrián Butzke,es ESP,FW,Granada,22,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,505dce2b
84,Erick Cabaco,uy URU,DF,Getafe,26,1995,10,5,403,4.5,0,1,0,0,0,4,1,0.00,0.22,0.22,0.00,0.22,0.4,0.4,0.4,0.8,0.09,0.08,0.17,0.09,0.17,Matches,e7ab4179
85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37,37,3330,37.0,2,0,2,0,0,7,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,0.3,1.6,0.04,0.01,0.04,0.04,0.04,Matches,69cbc8b6
86,Martín Cáceres,uy URU,DF,Levante,34,1987,10,9,663,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,e94d79e3
87,Cala,es ESP,DF,Cádiz,31,1989,14,10,947,10.5,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches,fe05804b
88,Calderón,es ESP,DF,Betis,21,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches,da4e70e5
89,Fernando Calero,es ESP,DF,Espanyol,25,1995,16,13,1090,12.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,41b3069f
90,Víctor Camarasa,es ESP,MFFW,Betis,27,1994,7,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,b2d03887
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,26,13,1236,13.7,2,1,2,0,0,8,0,0.15,0.07,0.22,0.15,0.22,1.0,1.0,1.2,2.2,0.07,0.09,0.16,0.07,0.16,Matches,7b9c2d84
92,José Campaña,es ESP,MF,Levante,28,1993,20,16,1422,15.8,2,2,2,0,1,6,1,0.13,0.13,0.25,0.13,0.25,1.6,0.8,1.4,2.2,0.10,0.09,0.19,0.05,0.14,Matches,61220da2
93,Sergio Canales,es ESP,FWMF,Betis,30,1991,34,33,2791,31.0,5,8,5,0,0,6,0,0.16,0.26,0.42,0.16,0.42,4.7,4.7,5.1,9.8,0.15,0.16,0.32,0.15,0.32,Matches,a6de370d
94,Álex Cantero,es ESP,FWMF,Levante,21,2000,25,4,610,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,2.7,2.7,0.6,3.3,0.39,0.09,0.48,0.39,0.48,Matches,4aa253fd
95,Ander Capa,es ESP,DF,Athletic Club,29,1992,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.74,0.00,0.74,0.74,0.74,Matches,37f1cf47
96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,30,26,2290,25.4,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.9,1.4,0.02,0.03,0.06,0.02,0.06,Matches,5acc4a10
97,Isaac Carcelen,es ESP,DFMF,Cádiz,28,1993,25,17,1544,17.2,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.6,1.2,0.03,0.04,0.07,0.03,0.07,Matches,c4b888df
98,Cárdenas,es ESP,GK,Levante,24,1997,24,24,2160,24.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e1846dde
99,Carlo,es ESP,MF,Villarreal,20,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8249ff06
100,Diego Carlos,br BRA,DF,Sevilla,28,1993,34,34,2957,32.9,3,0,3,0,0,4,1,0.09,0.00,0.09,0.09,0.09,2.5,2.5,0.3,2.8,0.08,0.01,0.09,0.08,0.09,Matches,b4a014b1
101,Carmona,es ESP,DF,Sevilla,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2dce876a
102,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,27,1993,34,28,2583,28.7,6,6,4,2,2,5,0,0.21,0.21,0.42,0.14,0.35,6.1,4.6,6.2,10.8,0.21,0.22,0.43,0.16,0.38,Matches,de39485a
103,Guido Carrillo,ar ARG,FW,Elche,30,1991,29,11,1168,13.0,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,2.9,2.9,0.2,3.1,0.22,0.01,0.24,0.22,0.24,Matches,8f898ba8
104,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,24,17,1551,17.2,1,3,1,0,0,1,0,0.06,0.17,0.23,0.06,0.23,0.5,0.5,2.4,2.9,0.03,0.14,0.17,0.03,0.17,Matches,4958bfb2
105,William Carvalho,pt POR,MF,Betis,29,1992,33,20,1805,20.1,2,3,2,0,0,6,0,0.10,0.15,0.25,0.10,0.25,3.1,3.1,1.5,4.6,0.16,0.07,0.23,0.16,0.23,Matches,dee86451
106,Casemiro,br BRA,MF,Real Madrid,29,1992,32,31,2569,28.5,1,3,1,0,0,11,0,0.04,0.11,0.14,0.04,0.14,2.4,2.4,2.6,5.0,0.08,0.09,0.18,0.08,0.18,Matches,4d224fe8
107,Kiko Casilla,es ESP,GK,Elche,34,1986,14,14,1260,14.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,58bc7d18
108,Catena,es ESP,DF,Rayo Vallecano,26,1994,36,36,3240,36.0,2,2,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,1.6,1.6,0.7,2.3,0.04,0.02,0.06,0.04,0.06,Matches,274ab13c
109,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,11,2,276,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.22,0.04,0.27,0.22,0.27,Matches,c0617e2b
110,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,33,21,1801,20.0,4,3,4,0,0,5,0,0.20,0.15,0.35,0.20,0.35,2.8,2.8,1.3,4.1,0.14,0.06,0.21,0.14,0.21,Matches,5e1028e5
111,Chapela,es ESP,MFFW,Cádiz,22,1999,9,4,398,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05,Matches,9ed40a69
112,Chema,es ESP,MF,Getafe,29,1992,1,1,45,0.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,7f203b54
113,Denis Cheryshev,ru RUS,MF,Valencia,30,1990,17,5,563,6.3,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,1.0,1.0,0.3,1.3,0.16,0.05,0.21,0.16,0.21,Matches,0ac94a23
